2427
ENST00000624081	5011798	5017144	5017144	1	4	0	0
ENST00000612610	5022492	5040660	5017144	1	7	4	1
ENST00000620481	5022492	5040665	5040660	1	6	11	1
ENST00000623960	5022493	5036770	5040665	1	7	17	1
ENST00000623903	5022530	5034683	5040665	1	7	24	1
ENST00000623795	5022532	5036124	5040665	1	6	31	1
ENST00000623188	5073457	5087866	5040665	1	2	37	2
ENST00000624810	5079293	5127926	5087866	2	6	39	3
ENST00000625036	5079293	5127926	5127926	2	5	45	3
ENST00000620015	5116340	5127142	5127926	2	6	50	3
ENST00000620528	5116340	5128424	5127926	2	7	56	3
ENST00000623476	5116342	5133804	5128424	2	7	63	4
ENST00000624120	5116936	5128371	5133804	2	6	70	3
ENST00000624748	5120633	5124867	5133804	2	3	76	3
ENST00000624648	5120633	5128272	5133804	2	6	79	3
ENST00000623810	5120635	5128412	5133804	2	5	85	3
ENST00000624714	5121448	5128377	5133804	2	5	90	3
ENST00000623390	5122012	5127926	5133804	2	4	95	3
ENST00000622915	5124485	5125177	5133804	2	2	99	3
ENST00000617716	5130870	5154733	5133804	2	21	101	5
ENST00000623011	5134198	5142895	5154733	2	6	122	5
ENST00000624312	5136987	5137938	5154733	2	2	128	5
ENST00000623998	5155498	5163694	5154733	2	3	130	6
ENST00000623744	5157011	5165471	5163694	2	3	133	6
ENST00000623753	5232667	5243832	5165471	2	2	136	7
ENST00000624261	5499150	5502541	5243832	2	3	138	8
ENST00000624859	5499154	5502496	5502541	2	3	141	8
ENST00000623227	5499556	5502496	5502541	2	2	144	8
ENST00000619252	5553636	5590199	5502541	1	3	146	9
ENST00000623449	5553658	5590177	5590199	1	4	149	9
ENST00000623436	5553668	5590682	5590199	1	2	153	9
ENST00000624627	5553668	5591227	5590682	1	4	155	9
ENST00000624368	5553678	5588645	5591227	1	5	159	9
ENST00000623914	5553702	5614879	5591227	1	4	164	9
ENST00000624516	5553706	5586368	5614879	1	2	168	9
ENST00000624412	5553709	5588785	5614879	1	3	170	9
ENST00000622939	5553716	5588183	5614879	1	4	173	9
ENST00000623050	5565962	5591233	5614879	1	3	177	9
ENST00000624444	5582227	5592003	5614879	1	2	180	9
ENST00000623887	5583465	5589527	5614879	1	2	182	9
ENST00000611026	5585777	5592002	5614879	1	2	184	9
ENST00000610788	5597389	5597489	5614879	1	1	186	10
ENST00000624506	5703181	5705636	5614879	2	1	187	11
ENST00000623587	5705344	5707159	5705636	1	2	188	12
ENST00000623723	5707003	5709455	5707159	2	2	190	13
ENST00000464664	5972955	5973332	5709455	2	1	192	14
ENST00000623928	6008603	6008809	5973332	1	1	193	15
ENST00000624240	6034689	6036092	6008809	1	1	194	16
ENST00000624561	6060339	6076304	6036092	1	4	195	17
ENST00000624105	6066968	6068127	6076304	1	2	199	17
ENST00000624113	6073291	6076134	6076304	1	2	201	17
ENST00000623161	6073347	6076152	6076304	1	4	203	17
ENST00000623549	6073448	6076102	6076304	1	3	207	17
ENST00000623983	6081192	6082584	6076304	1	2	210	18
ENST00000623297	6084363	6088241	6082584	2	3	212	19
ENST00000624872	6084380	6091406	6088241	2	4	215	19
ENST00000613488	6111133	6123738	6091406	1	14	219	20
ENST00000624077	6111169	6112955	6123738	1	3	233	20
ENST00000616522	6223479	6223579	6123738	2	1	236	21
ENST00000621924	6228965	6267303	6223579	2	4	237	22
ENST00000619488	6228966	6235191	6267303	2	2	241	22
ENST00000617746	6230398	6267274	6267303	2	3	243	22
ENST00000624446	6230665	6267312	6267303	2	2	246	22
ENST00000623405	6230695	6267277	6267312	2	3	248	22
ENST00000623575	6232565	6267279	6267312	2	3	251	22
ENST00000623506	6232596	6267316	6267312	2	4	254	22
ENST00000624484	6272134	6276531	6267316	2	10	258	23
ENST00000623377	6309160	6312947	6276531	1	6	268	24
ENST00000624576	6318433	6360414	6312947	1	4	274	25
ENST00000623738	6318439	6356985	6360414	1	4	278	25
ENST00000623989	6318494	6321716	6360414	1	3	282	25
ENST00000624165	6318494	6359183	6360414	1	3	285	25
ENST00000624847	6354263	6359766	6360414	1	4	288	25
ENST00000615262	6365954	6366054	6360414	1	1	292	26
