880
ENSG00000279493	CH507-9B2.2	protein_coding
ENSG00000277117	ICOSLG	protein_coding
ENSG00000279687	CH507-9B2.8	antisense
ENSG00000280071	CH507-9B2.3	protein_coding
ENSG00000276612	CH507-9B2.4	protein_coding
ENSG00000275464	CH507-9B2.5	protein_coding
ENSG00000280433	CH507-9B2.9	protein_coding
ENSG00000279669	RP11-717F1.1	lincRNA
ENSG00000279094	CH507-24F1.1	lincRNA
ENSG00000274333	RP11-717F1.2	lincRNA
ENSG00000277777	Y_RNA	misc_RNA
ENSG00000279186	CH507-39O4.3	TEC
ENSG00000279784	CH507-39O4.1	lincRNA
ENSG00000279064	CH507-39O4.2	lincRNA
ENSG00000274559	CH507-42P11.1	processed_pseudogene
ENSG00000280013	CH507-42P11.2	processed_pseudogene
ENSG00000279769	CH507-42P11.3	TEC
ENSG00000280191	CH507-42P11.5	lincRNA
ENSG00000280095	CH507-42P11.7	lincRNA
ENSG00000280179	CH507-42P11.6	lincRNA
ENSG00000275993	CH507-42P11.8	protein_coding
ENSG00000274790	Y_RNA	misc_RNA
ENSG00000275496	CH507-24F1.2	lincRNA
ENSG00000280019	CH507-145C22.2	unprocessed_pseudogene
ENSG00000279709	CH507-254M2.4	unprocessed_pseudogene
ENSG00000278903	CH507-145C22.1	lincRNA
ENSG00000276902	Y_RNA	misc_RNA
ENSG00000278014	FP236240.2	miRNA
ENSG00000274276	CBS	protein_coding
ENSG00000275895	U2AF1	protein_coding
ENSG00000280346	CH507-152C13.4	processed_pseudogene
ENSG00000277798	FP236240.1	miRNA
ENSG00000279226	CH507-152C13.5	TEC
ENSG00000278927	CH507-152C13.6	lincRNA
ENSG00000276076	CRYAA	protein_coding
ENSG00000280145	CH507-154B10.1	lincRNA
ENSG00000278878	CH507-145C22.3	lincRNA
ENSG00000279788	CH507-154B10.3	unprocessed_pseudogene
ENSG00000279728	CH507-236L23.5	unprocessed_pseudogene
ENSG00000280164	CH507-254M2.3	lincRNA
ENSG00000279998	CH507-210P18.1	lincRNA
ENSG00000278955	CH507-210P18.4	lincRNA
ENSG00000275507	MIR8069-2	miRNA
ENSG00000280172	CH507-210P18.3	processed_pseudogene
ENSG00000279751	CH507-210P18.5	lincRNA
ENSG00000280018	CH507-154B10.2	lincRNA
ENSG00000279313	CH507-145C22.4	lincRNA
ENSG00000279477	CH507-236L23.4	unprocessed_pseudogene
ENSG00000278884	CH507-236L23.1	lincRNA
ENSG00000277067	CH507-254M2.1	lincRNA
ENSG00000274046	Y_RNA	misc_RNA
ENSG00000280330	CH507-236L23.2	processed_pseudogene
ENSG00000279303	CH507-236L23.3	TEC
ENSG00000279647	CH507-254M2.5	unprocessed_pseudogene
ENSG00000279895	CH507-254M2.6	unprocessed_pseudogene
ENSG00000276077	CH507-254M2.2	lincRNA
ENSG00000274484	Y_RNA	misc_RNA
